feature,gain,split
diff_points,2984.3432433605194,153
diff_rank,1038.0244596004486,65
expected_t1_wins,732.1983678340912,111
diff_avg_player_rating,639.9655785560608,80
t1_avg_player_rating,602.9850006103516,87
diff_ct_wr,547.7270720005035,85
diff_rest_days,491.10387802124023,78
diff_avg_player_adr,455.3516778945923,68
t1_ct_wr,428.88125252723694,70
p_map_oof_min,410.8055212497711,62
t2_points,401.4430801868439,64
t2_t_wr,395.63443756103516,61
t2_rank,389.59751081466675,42
t2_avg_player_adr,379.94494915008545,65
t1_points,368.9479308128357,54
t2_avg_player_rating,348.1241021156311,62
p_map_oof_max,310.99488043785095,47
p_map_oof_mean,310.85968041419983,43
diff_t_wr,303.288428068161,49
t2_ct_wr,297.71297955513,53
t1_t_wr,284.31424927711487,52
diff_round_diff,282.0234088897705,47
t1_avg_player_adr,269.64271116256714,49
t2_rest_days,257.96690011024475,43
t1_round_diff,237.24806928634644,37
t1_rest_days,236.1179699897766,43
h2h_t1_wr,233.26943159103394,39
event_prize_pool_usd,233.22344064712524,41
t1_rank,220.99893832206726,33
t2_round_diff,201.09741044044495,30
diff_win_rate,194.544091463089,26
event_id,178.0387806892395,35
n_maps_played,169.6110498905182,24
t2_win_rate,142.36732006072998,23
h2h_n,138.80546164512634,23
t1_win_rate,83.48170042037964,13
event_num_attending,47.092140197753906,8
format,34.86749982833862,6
event_type,23.496870279312134,4
t2_n,11.668950080871582,2
t1_n,8.38886022567749,2
t1_picks,6.146160125732422,1
t1_adr,0.0,0
t1_rating,0.0,0
veto_n,0.0,0
stars,0.0,0
t1_roster_size_hist,0.0,0
diff_kast,0.0,0
diff_rating,0.0,0
diff_adr,0.0,0
t2_kast,0.0,0
t1_kast,0.0,0
t2_rating,0.0,0
t2_adr,0.0,0
t2_roster_size_hist,0.0,0
event_has_prize,0.0,0
t2_is_ranked,0.0,0
t1_is_ranked,0.0,0
t1_bans,0.0,0
t2_bans,0.0,0
t2_picks,0.0,0
frac_t1_favored,0.0,0
